id,name,unit,sourceNote,sourceOrganization,topics,source.id,source.value
1.0.HCount.1.90usd,Poverty Headcount ($1.90 a day),,The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.HCount.2.5usd,Poverty Headcount ($2.50 a day),,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount,,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.HCount.Ofcl,Official Moderate Poverty Rate-National,,The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.,LAC Equity Lab tabulations of data from National Statistical Offices.,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.HCount.Poor4uds,Poverty Headcount ($4 a day),,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount,,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.PGap.1.90usd,Poverty Gap ($1.90 a day),,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.PGap.2.5usd,Poverty Gap ($2.50 a day),,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.PGap.Poor4uds,Poverty Gap ($4 a day),,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.PSev.1.90usd,Poverty Severity ($1.90 a day),,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.PSev.2.5usd,Poverty Severity ($2.50 a day),,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.0.PSev.Poor4uds,Poverty Severity ($4 a day),,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.1.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Rural,,The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.1.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Rural,,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.1.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Rural,,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
1.1.HCount.Ofcl,Official Moderate Poverty Rate- Rural,,The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.,LAC Equity Lab tabulations of data from National Statistical Offices.,"[{'id': '11', 'value': 'Poverty '}]",37,LAC Equity Lab
